query_id,gold_id,retrieved_id,first_relevant_rank,hit_at_k,recall_k,mrr,context_precision,context_recall,faithfulness,answer_relevancy
cau_hoi_00189,144,"144, 123, 62, 202, 101",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,1.0000,0.8590
cau_hoi_00190,182,"20, 105, 182, 171, 189",3.0000,1.0000,1.0000,0.3333,0.9500,1.0000,1.0000,0.8424
cau_hoi_00191,11,"11, 51, 94, 19, 46",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8687
cau_hoi_00192,51,"51, 11, 94, 48, 69",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8629
cau_hoi_00193,151,"80, 145, 197, 150, 200",,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8591
cau_hoi_00194,108,"242, 107, 108, 263, 27",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8576
cau_hoi_00195,131,"47, 46, 131, 270, 136",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8494
cau_hoi_00196,34,"34, 37, 15, 113, 45",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8697
cau_hoi_00197,175,"175, 183, 196, 178, 118",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8442
cau_hoi_00198,242,"242, 107, 108, 202, 203",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8436
cau_hoi_00199,290,"286, 287, 290, 285, 281",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8227
cau_hoi_00200,226,"226, 222, 225, 220, 219",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8718
cau_hoi_00201,72,"72, 145, 64, 79, 80",1.0000,1.0000,1.0000,1.0000,0.8667,1.0000,1.0000,0.8435
cau_hoi_00202,178,"106, 178, 196, 195, 194",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.7500,0.8729
cau_hoi_00203,125,"136, 196, 131, 138, 135",,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,0.0000
cau_hoi_00204,265,"265, 267, 263, 266, 27",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8862
cau_hoi_00205,85,"77, 48, 85, 39, 62",3.0000,1.0000,1.0000,0.3333,1.0000,0.3333,1.0000,0.8630
cau_hoi_00206,251,"80, 82, 151, 74, 153",,0.0000,0.0000,0.0000,1.0000,0.0000,0.6667,0.8537
cau_hoi_00207,201,"197, 201, 200, 186, 202",2.0000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,0.8880
cau_hoi_00208,111,"111, 42, 19, 8, 126",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7000,0.0000
cau_hoi_00209,263,"263, 108, 242, 267, 265",1.0000,1.0000,1.0000,1.0000,0.8875,1.0000,0.7500,0.8657
cau_hoi_00210,13,"13, 57, 56, 46, 55",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8559
cau_hoi_00211,244,"244, 70, 149, 245, 199",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8700
cau_hoi_00212,69,"69, 48, 51, 83, 34",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8548
cau_hoi_00213,91,"91, 38, 19, 69, 37",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8592
cau_hoi_00214,42,"111, 58, 42, 69, 136",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8484
cau_hoi_00215,12,"12, 59, 108, 106, 112",1.0000,1.0000,1.0000,1.0000,0.7000,1.0000,0.6667,0.8586
cau_hoi_00216,239,"27, 26, 108, 239, 28",4.0000,1.0000,1.0000,0.2500,1.0000,1.0000,1.0000,0.8779
cau_hoi_00217,126,"37, 41, 126, 118, 175",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.6667,0.8343
cau_hoi_00218,94,"94, 11, 51, 90, 19",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8583
cau_hoi_00219,67,"67, 98, 48, 144, 62",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,1.0000,0.8547
cau_hoi_00220,70,"70, 39, 149, 48, 199",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8590
cau_hoi_00221,14,"15, 69, 21, 54, 20",,0.0000,0.0000,0.0000,0.0000,0.0000,0.8750,0.0000
cau_hoi_00222,"289, 290","286, 281, 284, 285, 287",,0.0000,0.0000,0.0000,0.9167,0.3333,0.8750,0.8762
cau_hoi_00223,257,"257, 256, 121, 131, 276",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8567
cau_hoi_00224,140,"192, 140, 89, 209, 73",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8446
cau_hoi_00225,117,"108, 119, 154, 8, 202",,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000
cau_hoi_00226,136,"98, 136, 58, 19, 154",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.7811
cau_hoi_00227,90,"90, 94, 45, 11, 19",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8352
cau_hoi_00228,133,"145, 150, 133, 197, 186",3.0000,1.0000,1.0000,0.3333,0.3667,1.0000,1.0000,0.8594
cau_hoi_00229,155,"112, 202, 155, 136, 107",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8255
cau_hoi_00230,153,"153, 82, 152, 81, 151",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8624
cau_hoi_00231,161,"242, 107, 202, 126, 109",,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000
cau_hoi_00232,"152, 81","81, 82, 152, 153, 64",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8506
cau_hoi_00233,233,"233, 242, 107, 95, 119",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8671
cau_hoi_00234,208,"46, 65, 208, 209, 53",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.5000,0.8247
cau_hoi_00235,202,"202, 107, 108, 242, 203",1.0000,1.0000,1.0000,1.0000,0.8042,1.0000,0.2500,0.0000
cau_hoi_00236,149,"149, 199, 70, 39, 129",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8557
cau_hoi_00237,"127, 52","52, 127, 160, 154, 11",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8901
cau_hoi_00238,112,"112, 106, 119, 194, 275",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8819
cau_hoi_00239,139,"139, 48, 83, 204, 118",1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.8462
cau_hoi_00240,105,"105, 20, 121, 124, 136",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8042
cau_hoi_00241,101,"101, 123, 17, 144, 62",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,0.6667,0.8850
cau_hoi_00242,26,"27, 26, 239, 108, 242",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8695
cau_hoi_00243,29,"29, 37, 118, 23, 175",1.0000,1.0000,1.0000,1.0000,0.8042,1.0000,1.0000,0.8833
cau_hoi_00244,73,"73, 140, 192, 269, 23",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8672
cau_hoi_00245,95,"95, 23, 180, 29, 118",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8692
cau_hoi_00246,"151, 80, 201","80, 64, 151, 201, 145",1.0000,1.0000,1.0000,1.0000,0.8056,1.0000,1.0000,0.8097
cau_hoi_00247,209,"209, 208, 192, 140, 89",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8615
cau_hoi_00248,204,"204, 48, 68, 202, 196",1.0000,1.0000,1.0000,1.0000,0.8875,1.0000,0.6667,0.8744
cau_hoi_00249,68,"48, 68, 33, 69, 204",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.6667,0.8478
cau_hoi_00250,77,"77, 48, 45, 39, 148",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.8654
